on x=-40..6,y=-36..9,z=-36..12
on x=-22..31,y=-48..6,z=-35..9
on x=3..47,y=-13..37,z=-14..36
on x=-27..22,y=-34..19,z=-49..2
on x=-14..37,y=-31..23,z=-19..33
on x=-3..41,y=-9..37,z=-43..8
on x=-41..4,y=-26..18,z=-26..27
on x=-15..32,y=-48..4,z=-34..19
on x=-31..13,y=-12..36,z=-45..8
on x=-20..31,y=-36..16,z=-22..26
off x=-49..-33,y=13..31,z=3..15
on x=-29..17,y=-49..0,z=-19..25
off x=30..47,y=24..39,z=-29..-18
on x=4..49,y=-47..7,z=-24..23
off x=-29..-15,y=9..19,z=-20..-11
on x=-24..27,y=-18..27,z=-8..42
off x=-18..-7,y=-39..-24,z=7..24
on x=-48..6,y=-35..15,z=-21..29
off x=-2..16,y=-12..2,z=-7..9
on x=-39..8,y=-7..44,z=-33..14
on x=-14554..7703,y=-70954..-37745,z=-67790..-41404
on x=64304..74992,y=-32391..-6044,z=-50769..-21431
on x=-82873..-62527,y=1191..15209,z=20969..39687
on x=-64590..-46642,y=-44312..-35430,z=39927..64730
on x=17572..45392,y=-58465..-40033,z=50024..54676
on x=55329..73959,y=-28594..-6122,z=-39774..-30981
on x=-48243..-11407,y=-60388..-29948,z=42664..76585
on x=-49516..-22108,y=7548..35097,z=45570..81396
on x=60517..80339,y=17903..47822,z=-19868..10086
on x=-45255..-14057,y=-37766..-19690,z=-69886..-47765
on x=42577..67180,y=29206..45733,z=-53491..-26289
on x=61656..78238,y=-20441..3893,z=-17282..147
on x=-45156..-16661,y=52842..80126,z=-16395..-10849
on x=-63677..-47310,y=51134..76848,z=-2679..16743
on x=-78978..-59484,y=-8414..19279,z=20753..37043
on x=-28605..-7068,y=-39478..-13034,z=70530..90747
on x=-81372..-74851,y=-6193..17684,z=-4672..25860
on x=2810..15597,y=53931..73784,z=29418..38761
on x=-26904..-17969,y=40075..56911,z=-61751..-56326
on x=-85893..-68305,y=-19959..14460,z=-48850..-23174
on x=-65073..-39293,y=-45204..-38202,z=32004..49054
on x=49772..58925,y=14290..21380,z=-70748..-48271
on x=27220..42318,y=-13331..15099,z=62077..82135
on x=-90093..-79116,y=-9754..5703,z=-3666..12489
on x=-55900..-52751,y=-22898..-126,z=42784..60921
on x=27788..32191,y=53015..70235,z=29670..33983
on x=-26372..-10785,y=-4720..5264,z=66881..93253
on x=-79365..-56564,y=40600..47261,z=-41949..-17802
on x=25803..35915,y=-27769..-154,z=-70663..-58147
on x=-64554..-34744,y=-6007..9163,z=46938..62828
on x=-79899..-59823,y=15449..52360,z=-33587..495
on x=23115..48021,y=-71137..-41438,z=31280..52874
on x=-62262..-50320,y=-57718..-33905,z=-52141..-30203
on x=-11288..2304,y=65393..97715,z=1381..27069
on x=65601..69973,y=17063..52429,z=-43524..-19182
on x=-33732..-6996,y=12602..28481,z=61537..88868
on x=-46067..-34497,y=64040..65534,z=-19393..-15514
on x=9444..34789,y=53920..73588,z=-62131..-33011
on x=53180..73493,y=-20564..-2557,z=-75806..-54654
on x=-20299..-5649,y=10211..30461,z=-75590..-60859
on x=63353..84396,y=31005..36459,z=-9834..7246
on x=-64822..-40169,y=53405..73269,z=13550..31532
on x=71860..75769,y=-24903..-8189,z=12671..40324
on x=43952..66246,y=52118..60421,z=-30167..-12578
on x=-81497..-61731,y=15093..23514,z=-37441..-14319
on x=-3215..6228,y=35461..56790,z=-75653..-56867
on x=-5516..12492,y=18325..29146,z=71879..78303
on x=47780..61410,y=-59267..-47963,z=-21932..-5613
on x=23545..42471,y=-73681..-45111,z=-47128..-26554
on x=-61700..-34968,y=-72927..-41212,z=20059..40907
on x=-36230..-2225,y=1487..31421,z=65420..88605
on x=-70681..-54245,y=44187..57623,z=911..23289
on x=-35017..-21814,y=-29655..-15991,z=-79371..-65201
on x=17141..23126,y=-19490..-6938,z=-82931..-69864
on x=-7575..1203,y=55168..68603,z=42541..59124
on x=48083..76732,y=-45671..-37114,z=14718..37332
on x=47544..66311,y=-4570..4692,z=26699..64637
on x=-7900..24089,y=-14457..-1105,z=-99480..-69604
on x=6773..24852,y=-12208..11481,z=-92981..-63096
on x=27688..43675,y=-26927..650,z=-82439..-60108
on x=15890..34349,y=49622..83458,z=-39475..-26104
